id,b,c,v,t
41004001,41,4,1,"Again he began to teach by the seaside. A great multitude was gathered to him, so that he entered into a boat in the sea, and sat down. All the multitude were on the land by the sea."
41004002,41,4,2,"He taught them many things in parables, and told them in his teaching,"
41004003,41,4,3,"""Listen! Behold, the farmer went out to sow,"
41004004,41,4,4,"and it happened, as he sowed, some seed fell by the road, and the birds{TR adds ""of the air""} came and devoured it."
41004005,41,4,5,"Others fell on the rocky ground, where it had little soil, and immediately it sprang up, because it had no depth of soil."
41004006,41,4,6,"When the sun had risen, it was scorched; and because it had no root, it withered away."
41004007,41,4,7,"Others fell among the thorns, and the thorns grew up, and choked it, and it yielded no fruit."
41004008,41,4,8,"Others fell into the good ground, and yielded fruit, growing up and increasing. Some brought forth thirty times, some sixty times, and some one hundred times as much."""
41004009,41,4,9,"He said, ""Whoever has ears to hear, let him hear."""
41004010,41,4,10,"When he was alone, those who were around him with the twelve asked him about the parables."
41004011,41,4,11,"He said to them, ""To you is given the mystery of the Kingdom of God, but to those who are outside, all things are done in parables,"
41004012,41,4,12,"that 'seeing they may see, and not perceive; and hearing they may hear, and not understand; lest perhaps they should turn again, and their sins should be forgiven them.'"""
41004013,41,4,13,"He said to them, ""Don't you understand this parable? How will you understand all of the parables?"
41004014,41,4,14,The farmer sows the word.
41004015,41,4,15,"These are the ones by the road, where the word is sown; and when they have heard, immediately Satan comes, and takes away the word which has been sown in them."
41004016,41,4,16,"These in like manner are those who are sown on the rocky places, who, when they have heard the word, immediately receive it with joy."
41004017,41,4,17,"They have no root in themselves, but are short-lived. When oppression or persecution arises because of the word, immediately they stumble."
41004018,41,4,18,"Others are those who are sown among the thorns. These are those who have heard the word,"
41004019,41,4,19,"and the cares of this age, and the deceitfulness of riches, and the lusts of other things entering in choke the word, and it becomes unfruitful."
41004020,41,4,20,"These are those which were sown on the good ground: such as hear the word, and accept it, and bear fruit, some thirty times, some sixty times, and some one hundred times."""
41004021,41,4,21,"He said to them, ""Is the lamp brought to be put under a basket{Literally, a modion, a dry measuring basket containing about a peck (about 9 litres)} or under a bed? Isn't it put on a lampstand?"
41004022,41,4,22,"For there is nothing hidden, except that it should be made known; neither was anything made secret, but that it should come to light."
41004023,41,4,23,"If any man has ears to hear, let him hear."""
41004024,41,4,24,"He said to them, ""Take heed what you hear. With whatever measure you measure, it will be measured to you, and more will be given to you who hear."
41004025,41,4,25,"For whoever has, to him will more be given, and he who doesn't have, from him will be taken away even that which he has."""
41004026,41,4,26,"He said, ""The Kingdom of God is as if a man should cast seed on the earth,"
41004027,41,4,27,"and should sleep and rise night and day, and the seed should spring up and grow, he doesn't know how."
41004028,41,4,28,"For the earth bears fruit: first the blade, then the ear, then the full grain in the ear."
41004029,41,4,29,"But when the fruit is ripe, immediately he puts forth the sickle, because the harvest has come."""
41004030,41,4,30,"He said, ""How will we liken the Kingdom of God? Or with what parable will we illustrate it?"
41004031,41,4,31,"It's like a grain of mustard seed, which, when it is sown in the earth, though it is less than all the seeds that are on the earth,"
41004032,41,4,32,"yet when it is sown, grows up, and becomes greater than all the herbs, and puts out great branches, so that the birds of the sky can lodge under its shadow."""
41004033,41,4,33,"With many such parables he spoke the word to them, as they were able to hear it."
41004034,41,4,34,Without a parable he didn't speak to them; but privately to his own disciples he explained all things.
41004035,41,4,35,"On that day, when evening had come, he said to them, ""Let's go over to the other side."""
41004036,41,4,36,"Leaving the multitude, they took him with them, even as he was, in the boat. Other small boats were also with him."
41004037,41,4,37,"There arose a great wind storm, and the waves beat into the boat, so much that the boat was already filled."
41004038,41,4,38,"He himself was in the stern, asleep on the cushion, and they woke him up, and told him, ""Teacher, don't you care that we are dying?"""
41004039,41,4,39,"He awoke, and rebuked the wind, and said to the sea, ""Peace! Be still!"" The wind ceased, and there was a great calm."
41004040,41,4,40,"He said to them, ""Why are you so afraid? How is it that you have no faith?"""
41004041,41,4,41,"They were greatly afraid, and said to one another, ""Who then is this, that even the wind and the sea obey him?"""
41005001,41,5,1,"They came to the other side of the sea, into the country of the Gadarenes."
41005002,41,5,2,"When he had come out of the boat, immediately there met him out of the tombs a man with an unclean spirit,"
41005003,41,5,3,"who had his dwelling in the tombs. Nobody could bind him any more, not even with chains,"
41005004,41,5,4,"because he had been often bound with fetters and chains, and the chains had been torn apart by him, and the fetters broken in pieces. Nobody had the strength to tame him."
41005005,41,5,5,"Always, night and day, in the tombs and in the mountains, he was crying out, and cutting himself with stones."
41005006,41,5,6,"When he saw Jesus from afar, he ran and bowed down to him,"
41005007,41,5,7,"and crying out with a loud voice, he said, ""What have I to do with you, Jesus, you Son of the Most High God? I adjure you by God, don't torment me."""
41005008,41,5,8,"For he said to him, ""Come out of the man, you unclean spirit!"""
41005009,41,5,9,"He asked him, ""What is your name?"" He said to him, ""My name is Legion, for we are many."""
41005010,41,5,10,He begged him much that he would not send them away out of the country.
41005011,41,5,11,Now there was on the mountainside a great herd of pigs feeding.
41005012,41,5,12,"All the demons begged him, saying, ""Send us into the pigs, that we may enter into them."""
41005013,41,5,13,"At once Jesus gave them permission. The unclean spirits came out and entered into the pigs. The herd of about two thousand rushed down the steep bank into the sea, and they were drowned in the sea."
41005014,41,5,14,"Those who fed them fled, and told it in the city and in the country. The people came to see what it was that had happened."
41005015,41,5,15,"They came to Jesus, and saw him who had been possessed by demons sitting, clothed, and in his right mind, even him who had the legion; and they were afraid."
41005016,41,5,16,"Those who saw it declared to them how it happened to him who was possessed by demons, and about the pigs."
41005017,41,5,17,They began to beg him to depart from their region.
41005018,41,5,18,"As he was entering into the boat, he who had been possessed by demons begged him that he might be with him."
41005019,41,5,19,"He didn't allow him, but said to him, ""Go to your house, to your friends, and tell them what great things the Lord has done for you, and how he had mercy on you."""
41005020,41,5,20,"He went his way, and began to proclaim in Decapolis how Jesus had done great things for him, and everyone marveled."
41005021,41,5,21,"When Jesus had crossed back over in the boat to the other side, a great multitude was gathered to him; and he was by the sea."
41005022,41,5,22,"Behold, one of the rulers of the synagogue, Jairus by name, came; and seeing him, he fell at his feet,"
41005023,41,5,23,"and begged him much, saying, ""My little daughter is at the point of death. Please come and lay your hands on her, that she may be made healthy, and live."""
41005024,41,5,24,"He went with him, and a great multitude followed him, and they pressed upon him on all sides."
41005025,41,5,25,"A certain woman, who had an issue of blood for twelve years,"
41005026,41,5,26,"and had suffered many things by many physicians, and had spent all that she had, and was no better, but rather grew worse,"
41005027,41,5,27,"having heard the things concerning Jesus, came up behind him in the crowd, and touched his clothes."
41005028,41,5,28,"For she said, ""If I just touch his clothes, I will be made well."""
41005029,41,5,29,"Immediately the flow of her blood was dried up, and she felt in her body that she was healed of her affliction."
41005030,41,5,30,"Immediately Jesus, perceiving in himself that the power had gone out from him, turned around in the crowd, and asked, ""Who touched my clothes?"""
41005031,41,5,31,"His disciples said to him, ""You see the multitude pressing against you, and you say, 'Who touched me?'"""
41005032,41,5,32,He looked around to see her who had done this thing.
41005033,41,5,33,"But the woman, fearing and trembling, knowing what had been done to her, came and fell down before him, and told him all the truth."
41005034,41,5,34,"He said to her, ""Daughter, your faith has made you well. Go in peace, and be cured of your disease."""
41005035,41,5,35,"While he was still speaking, they came from the synagogue ruler's house saying, ""Your daughter is dead. Why bother the Teacher any more?"""
41005036,41,5,36,"But Jesus, when he heard the message spoken, immediately said to the ruler of the synagogue, ""Don't be afraid, only believe."""
41005037,41,5,37,"He allowed no one to follow him, except Peter, James, and John the brother of James."
41005038,41,5,38,"He came to the synagogue ruler's house, and he saw an uproar, weeping, and great wailing."
41005039,41,5,39,"When he had entered in, he said to them, ""Why do you make an uproar and weep? The child is not dead, but is asleep."""
41005040,41,5,40,"They ridiculed him. But he, having put them all out, took the father of the child and her mother and those who were with him, and went in where the child was lying."
41005041,41,5,41,"Taking the child by the hand, he said to her, ""Talitha cumi;"" which means, being interpreted, ""Girl, I tell you, get up."""
41005042,41,5,42,"Immediately the girl rose up, and walked, for she was twelve years old. They were amazed with great amazement."
41005043,41,5,43,"He strictly ordered them that no one should know this, and commanded that something should be given to her to eat."
41006001,41,6,1,"He went out from there. He came into his own country, and his disciples followed him."
41006002,41,6,2,"When the Sabbath had come, he began to teach in the synagogue, and many hearing him were astonished, saying, ""Where did this man get these things?"" and, ""What is the wisdom that is given to this man, that such mighty works come about by his hands?"
41006003,41,6,3,"Isn't this the carpenter, the son of Mary, and brother of James, Joses, Judas, and Simon? Aren't his sisters here with us?"" They were offended at him."
41006004,41,6,4,"Jesus said to them, ""A prophet is not without honor, except in his own country, and among his own relatives, and in his own house."""
41006005,41,6,5,"He could do no mighty work there, except that he laid his hands on a few sick people, and healed them."
41006006,41,6,6,He marveled because of their unbelief. He went around the villages teaching.
41006007,41,6,7,"He called to himself the twelve, and began to send them out two by two; and he gave them authority over the unclean spirits."
41006008,41,6,8,"He charged them that they should take nothing for their journey, except a staff only: no bread, no wallet, no money in their purse,"
41006009,41,6,9,"but to wear sandals, and not put on two tunics."
41006010,41,6,10,"He said to them, ""Wherever you enter into a house, stay there until you depart from there."
41006011,41,6,11,"Whoever will not receive you nor hear you, as you depart from there, shake off the dust that is under your feet for a testimony against them. Assuredly, I tell you, it will be more tolerable for Sodom and Gomorrah in the day of judgment than for that city!"""
41006012,41,6,12,They went out and preached that people should repent.
41006013,41,6,13,"They cast out many demons, and anointed many with oil who were sick, and healed them."
41006014,41,6,14,"King Herod heard this, for his name had become known, and he said, ""John the Baptizer has risen from the dead, and therefore these powers are at work in him."""
41006015,41,6,15,"But others said, ""It is Elijah."" Others said, ""It is the Prophet, or like one of the prophets."""
41006016,41,6,16,"But Herod, when he heard this, said, ""This is John, whom I beheaded. He has risen from the dead."""
41006017,41,6,17,"For Herod himself had sent out and arrested John, and bound him in prison for the sake of Herodias, his brother Philip's wife, for he had married her."
41006018,41,6,18,"For John said to Herod, ""It is not lawful for you to have your brother's wife."""
41006019,41,6,19,"Herodias set herself against him, and desired to kill him, but she couldn't,"
41006020,41,6,20,"for Herod feared John, knowing that he was a righteous and holy man, and kept him safe. When he heard him, he did many things, and he heard him gladly."
41006021,41,6,21,"Then a convenient day came, that Herod on his birthday made a supper for his nobles, the high officers, and the chief men of Galilee."
41006022,41,6,22,"When the daughter of Herodias herself came in and danced, she pleased Herod and those sitting with him. The king said to the young lady, ""Ask me whatever you want, and I will give it to you."""
41006023,41,6,23,"He swore to her, ""Whatever you shall ask of me, I will give you, up to half of my kingdom."""
41006024,41,6,24,"She went out, and said to her mother, ""What shall I ask?"" She said, ""The head of John the Baptizer."""
41006025,41,6,25,"She came in immediately with haste to the king, and asked, ""I want you to give me right now the head of John the Baptizer on a platter."""
41006026,41,6,26,"The king was exceedingly sorry, but for the sake of his oaths, and of his dinner guests, he didn't wish to refuse her."
41006027,41,6,27,"Immediately the king sent out a soldier of his guard, and commanded to bring John's head, and he went and beheaded him in the prison,"
41006028,41,6,28,"and brought his head on a platter, and gave it to the young lady; and the young lady gave it to her mother."
41006029,41,6,29,"When his disciples heard this, they came and took up his corpse, and laid it in a tomb."
41006030,41,6,30,"The apostles gathered themselves together to Jesus, and they told him all things, whatever they had done, and whatever they had taught."
41006031,41,6,31,"He said to them, ""You come apart into a deserted place, and rest awhile."" For there were many coming and going, and they had no leisure so much as to eat."
41006032,41,6,32,They went away in the boat to a desert place by themselves.
41006033,41,6,33,"They{TR reads ""The multitudes"" instead of ""They""} saw them going, and many recognized him and ran there on foot from all the cities. They arrived before them and came together to him."
41006034,41,6,34,"Jesus came out, saw a great multitude, and he had compassion on them, because they were like sheep without a shepherd, and he began to teach them many things."
41006035,41,6,35,"When it was late in the day, his disciples came to him, and said, ""This place is deserted, and it is late in the day."
41006036,41,6,36,"Send them away, that they may go into the surrounding country and villages, and buy themselves bread, for they have nothing to eat."""
41006037,41,6,37,"But he answered them, ""You give them something to eat."" They asked him, ""Shall we go and buy two hundred denarii{200 denarii was about 7 or 8 months wages for an agricultural laborer.} worth of bread, and give them something to eat?"""
41006038,41,6,38,"He said to them, ""How many loaves do you have? Go see."" When they knew, they said, ""Five, and two fish."""
41006039,41,6,39,He commanded them that everyone should sit down in groups on the green grass.
