id,b,c,v,t
46005012,46,5,12,For what have I to do with also judging those who are outside? Don't you judge those who are within?
46005013,46,5,13,"But those who are outside, God judges. ""Put away the wicked man from among yourselves."""
46006001,46,6,1,"Dare any of you, having a matter against his neighbor, go to law before the unrighteous, and not before the saints?"
46006002,46,6,2,"Don't you know that the saints will judge the world? And if the world is judged by you, are you unworthy to judge the smallest matters?"
46006003,46,6,3,"Don't you know that we will judge angels? How much more, things that pertain to this life?"
46006004,46,6,4,"If then, you have to judge things pertaining to this life, do you set them to judge who are of no account in the assembly?"
46006005,46,6,5,I say this to move you to shame. Isn't there even one wise man among you who would be able to decide between his brothers?
46006006,46,6,6,"But brother goes to law with brother, and that before unbelievers!"
46006007,46,6,7,"Therefore it is already altogether a defect in you, that you have lawsuits one with another. Why not rather be wronged? Why not rather be defrauded?"
46006008,46,6,8,"No, but you yourselves do wrong, and defraud, and that against your brothers."
46006009,46,6,9,"Or don't you know that the unrighteous will not inherit the Kingdom of God? Don't be deceived. Neither the sexually immoral, nor idolaters, nor adulterers, nor male prostitutes, nor homosexuals,"
46006010,46,6,10,"nor thieves, nor covetous, nor drunkards, nor slanderers, nor extortioners, will inherit the Kingdom of God."
46006011,46,6,11,"Such were some of you, but you were washed. But you were sanctified. But you were justified in the name of the Lord Jesus, and in the Spirit of our God."
46006012,46,6,12,"""All things are lawful for me,"" but not all things are expedient. ""All things are lawful for me,"" but I will not be brought under the power of anything."
46006013,46,6,13,"""Foods for the belly, and the belly for foods,"" but God will bring to nothing both it and them. But the body is not for sexual immorality, but for the Lord; and the Lord for the body."
46006014,46,6,14,"Now God raised up the Lord, and will also raise us up by his power."
46006015,46,6,15,"Don't you know that your bodies are members of Christ? Shall I then take the members of Christ, and make them members of a prostitute? May it never be!"
46006016,46,6,16,"Or don't you know that he who is joined to a prostitute is one body? For, ""The two,"" says he, ""will become one flesh."""
46006017,46,6,17,But he who is joined to the Lord is one spirit.
46006018,46,6,18,"Flee sexual immorality! ""Every sin that a man does is outside the body,"" but he who commits sexual immorality sins against his own body."
46006019,46,6,19,"Or don't you know that your body is a temple of the Holy Spirit which is in you, which you have from God? You are not your own,"
46006020,46,6,20,"for you were bought with a price. Therefore glorify God in your body and in your spirit, which are God's."
46007001,46,7,1,Now concerning the things about which you wrote to me: it is good for a man not to touch a woman.
46007002,46,7,2,"But, because of sexual immoralities, let each man have his own wife, and let each woman have her own husband."
46007003,46,7,3,"Let the husband render to his wife the affection owed her, and likewise also the wife to her husband."
46007004,46,7,4,"The wife doesn't have authority over her own body, but the husband. Likewise also the husband doesn't have authority over his own body, but the wife."
